               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041907,            0.025736,           0.0032204,             0.82354,             0.90508,             0.93012,             0.56191,            0.034989,            0.013933,           0.0018766,            0.009307,            0.009307,            0.009307
                  37,            0.040158,            0.031931,           0.0027129,              0.7618,             0.89552,             0.86823,             0.51013,            0.034707,            0.014398,           0.0021445,           0.0092872,           0.0092872,           0.0092872
                  38,            0.043878,            0.031207,           0.0026629,             0.91556,             0.89151,             0.96378,             0.56711,            0.033796,            0.014713,           0.0022436,           0.0092674,           0.0092674,           0.0092674
                  39,            0.042802,            0.030913,           0.0031798,             0.90774,             0.94579,             0.97454,             0.58695,            0.033273,            0.013942,           0.0019322,           0.0092476,           0.0092476,           0.0092476
                  40,            0.039201,            0.028922,           0.0030355,             0.86731,              0.9257,               0.951,             0.58151,            0.031882,            0.013716,           0.0018671,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038705,            0.027002,           0.0025256,             0.87174,             0.91617,              0.9605,             0.56731,            0.034173,            0.013613,           0.0019907,            0.009208,            0.009208,            0.009208
                  42,            0.040634,            0.027063,           0.0027542,             0.89996,             0.92858,             0.96579,              0.5809,             0.03443,            0.013506,           0.0019358,           0.0091882,           0.0091882,           0.0091882
                  43,            0.038537,            0.027252,            0.003865,             0.86799,             0.94604,             0.94869,             0.58502,            0.033522,            0.013349,           0.0018571,           0.0091684,           0.0091684,           0.0091684
                  44,            0.039906,            0.024759,           0.0023449,             0.89057,             0.93934,             0.95626,             0.61258,            0.033066,            0.013244,           0.0017113,           0.0091486,           0.0091486,           0.0091486
                  45,            0.038304,            0.027385,           0.0019216,             0.92849,             0.94975,             0.97402,             0.56113,            0.035362,            0.012864,           0.0015869,           0.0091288,           0.0091288,           0.0091288
                  46,            0.040729,            0.031982,           0.0023729,              0.9092,             0.94844,             0.96324,             0.55194,            0.032959,            0.013059,           0.0015977,            0.009109,            0.009109,            0.009109
                  47,            0.036609,            0.026444,           0.0020047,             0.94548,             0.93388,             0.98352,             0.61665,            0.031662,            0.012845,           0.0014214,           0.0090892,           0.0090892,           0.0090892
                  48,            0.039137,            0.028861,           0.0022159,             0.94262,             0.93233,             0.98122,             0.61378,            0.031647,            0.012867,           0.0014619,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036514,            0.027436,           0.0020382,             0.90396,             0.94434,             0.97577,             0.61108,            0.031818,             0.01279,           0.0013843,           0.0090496,           0.0090496,           0.0090496
                  50,            0.037849,            0.029795,           0.0021213,             0.91434,             0.95369,             0.97855,             0.59373,             0.03384,            0.012805,           0.0015286,           0.0090298,           0.0090298,           0.0090298
                  51,            0.037269,            0.026235,           0.0024826,             0.92125,             0.95296,             0.97507,             0.61598,            0.030924,            0.012883,           0.0015172,             0.00901,             0.00901,             0.00901
